id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
IMP3	4	0.99585	0.99598	0.999998	2150	0	0.9783	0.004151	0.01465	0.393314	75	4	0.9783
DIMT1	4	0.99582	0.99597	0.999998	2149	0	1.1946	0.0041755	0.014759	0.393314	76	4	1.1946
PSMC1	4	0.9958	0.99596	0.999998	2148	0	0.72653	0.0042	0.01484	0.393314	77	4	0.72653
DHX15	4	0.99579	0.99596	0.999998	2147	0	0.96013	0.0042083	0.014863	0.393314	78	4	0.96013
SEPT7	3	0.89292	0.89349	0.999998	1853	0	1.9288	0.0042269	0.011983	0.383663	79	2	1.9288
ZCCHC9	3	0.99576	0.99597	0.999998	2146	0	1.2292	0.0042401	0.01201	0.383663	80	3	1.2292
IARS2	4	0.96937	0.96961	0.999998	2040	0	1.1008	0.0043822	0.015455	0.393314	81	3	1.1008
CHTOP	4	0.99491	0.99509	0.999998	2144	0	1.0874	0.0044424	0.01564	0.393314	82	4	1.0874
ATP5B	4	0.97322	0.97359	0.999998	2048	0	1.0982	0.0044727	0.015708	0.393314	83	3	1.0982
MAGOH	4	0.37945	0.52539	0.999998	1044	1	1.1301	0.0045338	0.015907	0.393314	84	3	1.1301
FBL	4	0.96061	0.96101	0.999998	2009	0	1.5766	0.0046887	0.016481	0.398052	85	3	1.5766
MARS	4	0.77669	0.78223	0.999998	1612	1	1.2111	0.0047105	0.01654	0.398052	86	3	1.2111
RPL7	4	0.99429	0.99443	0.999998	2138	0	1.2442	0.005091	0.017779	0.419503	87	4	1.2442
HEATR6	4	0.968	0.96831	0.999998	2036	0	0.58661	0.0052169	0.018222	0.419503	88	3	0.58661
SMAD2	4	0.99475	0.99495	0.999998	2142	0	0.66433	0.0052466	0.018294	0.419503	89	4	0.66433
TRIM28	4	0.99471	0.9949	0.999998	2141	0	0.87562	0.0052856	0.018389	0.419503	90	4	0.87562
RBM20	4	0.99454	0.9947	0.999998	2140	0	0.5026	0.0054634	0.018954	0.427937	91	4	0.5026
VCP	3	0.59731	0.62013	0.999998	1340	1	1.4327	0.0055737	0.01555	0.393314	92	2	1.4327
TRNT1	3	0.9866	0.98713	0.999998	2104	0	1.632	0.005605	0.015636	0.393314	93	3	1.632
EIF3C	2	0.99436	0.99445	0.999998	2139	0	1.6698	0.0056413	0.010812	0.383321	94	2	1.6698
EIF4A3	4	0.32111	0.46605	0.999998	949	2	0.11508	0.0057127	0.019736	0.436386	95	2	0.11508
GTPBP4	4	0.94883	0.94892	0.999998	1974	0	1.2774	0.005726	0.019768	0.436386	96	3	1.2774
IDH1	3	0.33894	0.45865	0.999998	968	1	-0.10123	0.005776	0.015984	0.393314	97	1	-0.10123
SMG5	4	0.9034	0.90362	0.999998	1874	0	1.1276	0.0060525	0.020736	0.440882	98	3	1.1276
RPL27A	4	0.62505	0.68459	0.999998	1368	1	1.4479	0.0061283	0.020993	0.44207	99	3	1.4479
HMGB3	4	0.28775	0.4328	0.999998	898	1	0.73516	0.0062083	0.021251	0.443234	100	2	0.73516
SLC25A11	4	0.39837	0.54478	0.999998	1079	2	0.6236	0.0063122	0.021595	0.446152	101	2	0.6236
DNAJC2	4	0.99351	0.99364	0.999998	2137	0	0.6417	0.006489	0.022187	0.449093	102	4	0.6417
PSMC4	2	0.99349	0.99361	0.999998	2136	0	1.7007	0.006514	0.012263	0.383663	103	2	1.7007
IPO13	4	0.9934	0.99353	0.999998	2135	0	1.0659	0.0066036	0.022625	0.449093	104	4	1.0659
SUPV3L1	4	0.99337	0.99351	0.999998	2134	0	0.61831	0.0066266	0.022702	0.449093	105	4	0.61831
RPLP1	4	0.98615	0.9862	0.999998	2102	0	0.81298	0.0067037	0.022924	0.449093	106	4	0.81298
CHD2	4	0.66311	0.70533	0.999998	1427	1	0.049884	0.0071989	0.024529	0.465808	107	1	0.049884
DIEXF	4	0.97748	0.97784	0.999998	2069	0	1.1272	0.0073513	0.025003	0.465808	108	3	1.1272
SMN1	4	0.99261	0.99259	0.999998	2133	0	1.2123	0.0073857	0.025098	0.465808	109	4	1.2123
HARS2	3	0.99258	0.99275	0.999998	2132	0	0.78358	0.0074245	0.020387	0.439866	110	3	0.78358
RPS14	3	0.99255	0.99272	0.999998	2130	0	0.82216	0.0074529	0.020487	0.439866	111	3	0.82216
SFN	4	0.99213	0.99205	0.999998	2129	0	0.68272	0.0078739	0.026595	0.472676	112	4	0.68272
EXOSC8	4	0.99207	0.99199	0.999998	2128	0	0.90572	0.0079267	0.026789	0.472676	113	4	0.90572
MRPL33	3	0.99207	0.99229	0.999998	2127	0	0.97292	0.007933	0.021848	0.447164	114	3	0.97292
WDR46	4	0.98664	0.98664	0.999998	2106	0	1.0045	0.0079741	0.026938	0.472676	115	4	1.0045
DKC1	4	0.99193	0.99186	0.999998	2126	0	0.68943	0.0080732	0.027277	0.472676	116	4	0.68943
EIF3A	4	0.98872	0.98867	0.999998	2109	0	1.1629	0.0081877	0.027666	0.472676	117	4	1.1629
C1ORF131	4	0.046221	0.11532	0.812757	305	1	0.61998	0.0081888	0.027666	0.472676	118	2	0.61998
ZC3H12A	4	0.80775	0.80805	0.999998	1677	1	0.9163	0.0082188	0.027752	0.472676	119	3	0.9163
RCL1	4	0.99175	0.99173	0.999998	2125	0	0.68703	0.0082489	0.027843	0.472676	120	4	0.68703
API5	4	0.99157	0.99155	0.999998	2124	0	0.45898	0.0084274	0.028308	0.473785	121	4	0.45898
RPS13	3	0.99157	0.99185	0.999998	2123	0	1.2892	0.0084332	0.023172	0.449093	122	3	1.2892
PIH1D1	4	0.38732	0.53335	0.999998	1061	2	-0.045501	0.0086835	0.029176	0.477704	123	2	-0.045501
MCHERRY	4	0.99125	0.99117	0.999998	2122	0	1.042	0.0087505	0.029362	0.477704	124	4	1.042
TFAM	3	0.99113	0.99136	0.999998	2121	0	0.95466	0.0088738	0.024325	0.465808	125	3	0.95466
ISG20L2	3	0.99093	0.99115	0.999998	2120	0	0.8453	0.0090673	0.024777	0.465808	126	3	0.8453
EEF1A1	4	0.99093	0.99092	0.999998	2119	0	1.2609	0.009068	0.030392	0.489407	127	4	1.2609
HNRNPA3	4	0.88367	0.8833	0.999998	1829	0	0.85312	0.0092942	0.031111	0.497326	128	3	0.85312
LSM12	4	0.65174	0.69871	0.999998	1411	1	1.195	0.0093917	0.031405	0.498386	129	3	1.195
RBM3	4	0.8983	0.89841	0.999998	1864	0	0.85897	0.0095145	0.031713	0.499644	130	3	0.85897
PCDH20	2	0.35791	0.38291	0.999998	1001	1	1.525	0.0098078	0.018181	0.419503	131	1	1.525
CSTF1	3	0.94911	0.94986	0.999998	1976	0	0.74421	0.0098616	0.026672	0.472676	132	3	0.74421
ELP5	3	0.99008	0.99035	0.999998	2118	0	0.83127	0.0099207	0.026839	0.472676	133	3	0.83127
UTP20	4	0.97621	0.97669	0.999998	2062	0	1.1349	0.010118	0.033684	0.521117	134	3	1.1349
YY1	4	0.97879	0.97907	0.999998	2077	0	1.2222	0.010221	0.033987	0.521117	135	3	1.2222
HDGF	3	0.98975	0.99006	0.999998	2116	0	1.0678	0.010252	0.027843	0.472676	136	3	1.0678
ATP2A2	4	0.28369	0.42866	0.999998	888	2	0.48705	0.010468	0.034791	0.525556	137	2	0.48705
NIFK	3	0.9895	0.98985	0.999998	2115	0	1.4203	0.010501	0.028358	0.473785	138	3	1.4203
G3BP1	3	0.81132	0.81216	0.999998	1684	0	0.2091	0.010603	0.028557	0.473785	139	1	0.2091
CHGA	4	0.98936	0.98932	0.999998	2114	0	0.81767	0.010638	0.035289	0.525556	140	4	0.81767
CHCHD1	4	0.98649	0.9865	0.999998	2103	0	1.0064	0.010746	0.035673	0.525556	141	4	1.0064
TGS1	2	0.66832	0.66725	0.999998	1434	0	2.0456	0.010798	0.019926	0.436386	142	1	2.0456
VARS	4	0.98904	0.98904	0.999998	2113	0	0.54022	0.010955	0.036265	0.525556	143	4	0.54022
NOL3	3	0.72589	0.72833	0.999998	1530	1	0.012463	0.010974	0.029448	0.477704	144	1	0.012463
RPL7L1	4	0.98898	0.98897	0.999998	2112	0	0.5669	0.011023	0.036496	0.525556	145	4	0.5669
WDR4	4	0.98889	0.98885	0.999998	2111	0	0.46207	0.011108	0.036794	0.525556	146	4	0.46207
LDHA	4	0.98884	0.98879	0.999998	2110	0	0.60723	0.011159	0.036957	0.525556	147	4	0.60723
TRIP6	4	0.38931	0.53548	0.999998	1065	2	-0.2905	0.011648	0.038322	0.537986	148	1	-0.2905
FARSA	4	0.76866	0.77596	0.999998	1600	1	0.86426	0.011789	0.038743	0.540424	149	3	0.86426
SKIV2L2	4	0.67613	0.71294	0.999998	1448	1	0.96898	0.012112	0.039697	0.544895	150	3	0.96898
SMAD3	4	0.0022383	0.0082169	0.375	44	3	-0.88512	0.012141	0.03981	0.544895	151	1	-0.88512
RPS28	2	0.98761	0.98756	0.999998	2108	0	1.3665	0.012393	0.023082	0.449093	152	2	1.3665
RPL10	3	0.68181	0.68817	0.999998	1462	1	0.69525	0.012456	0.033146	0.518494	153	2	0.69525
PNN	4	0.98754	0.98758	0.999998	2107	0	0.51846	0.01246	0.040809	0.555101	154	4	0.51846
RNF113B	4	0.1307	0.2668	0.98698	577	2	-0.22539	0.012634	0.041387	0.559498	155	1	-0.22539
EXOSC2	3	0.89838	0.89905	0.999998	1865	0	1.5907	0.012779	0.034027	0.521117	156	2	1.5907
NAA38	4	0.98662	0.98662	0.999998	2105	0	0.75401	0.013375	0.043729	0.581258	157	4	0.75401
RPL29	3	0.049735	0.11793	0.819912	315	2	-1.5777	0.013566	0.035904	0.525556	158	1	-1.5777
LRRFIP1	4	0.038559	0.10024	0.773645	279	3	-0.74083	0.01362	0.044516	0.581258	159	1	-0.74083
PURO	3	0.95967	0.96046	0.999998	2004	0	1.2898	0.01363	0.036021	0.525556	160	3	1.2898
RPL30	4	0.93184	0.93169	0.999998	1939	0	1.2663	0.013667	0.044652	0.581258	161	3	1.2663
RPS3	4	0.024415	0.071163	0.715151	208	1	0.84026	0.013734	0.044855	0.581258	162	2	0.84026
EIF3I	4	0.98613	0.98617	0.999998	2101	0	0.38414	0.013871	0.04519	0.582149	163	4	0.38414
QARS	3	0.86207	0.86296	0.999998	1786	0	1.6627	0.013919	0.036753	0.525556	164	2	1.6627
HSPD1	3	0.98604	0.98657	0.999998	2100	0	0.69444	0.013956	0.036835	0.525556	165	3	0.69444
TEP1	4	0.98595	0.98598	0.999998	2099	0	0.77878	0.014053	0.045719	0.585519	166	4	0.77878
INTS9	4	0.85683	0.85606	0.999998	1772	0	0.92993	0.014159	0.046017	0.585914	167	3	0.92993
ZC3H10	3	0.606	0.62643	0.999998	1348	1	1.3039	0.014163	0.037314	0.527212	168	2	1.3039
EPRS	4	0.63122	0.68806	0.999998	1382	1	1.1424	0.014546	0.047165	0.591994	169	3	1.1424
BRIX1	4	0.98543	0.98554	0.999998	2098	0	0.66128	0.014568	0.047247	0.591994	170	4	0.66128
WDR36	4	0.98541	0.98551	0.999998	2097	0	0.8806	0.014589	0.047305	0.591994	171	4	0.8806
NOP9	3	0.86864	0.86935	0.999998	1799	0	1.986	0.014904	0.039181	0.543082	172	2	1.986
RPS16	4	0.16427	0.30768	0.999998	645	2	0.68579	0.015029	0.04877	0.599194	173	2	0.68579
DHX37	4	0.98495	0.98504	0.999998	2096	0	0.50719	0.015054	0.048861	0.599194	174	4	0.50719
KPNA2	4	0.32852	0.47359	0.999998	954	2	0.10073	0.015097	0.048965	0.599194	175	2	0.10073
PSMD1	4	0.35901	0.50447	0.999998	1002	1	1.0564	0.015239	0.049417	0.599194	176	3	1.0564
MRPS9	4	0.97221	0.97254	0.999998	2045	0	1.1907	0.015449	0.050068	0.599194	177	3	1.1907
PA2G4	4	0.73983	0.75452	0.999998	1553	1	0.5632	0.015589	0.050529	0.599194	178	2	0.5632
EXOSC5	4	0.98434	0.98441	0.999998	2095	0	0.66365	0.015662	0.050737	0.599194	179	4	0.66365
RPS10	4	0.73121	0.7484	0.999998	1536	1	1.3272	0.015736	0.050922	0.599194	180	3	1.3272
NMT1	4	0.9842	0.98429	0.999998	2094	0	0.46887	0.015795	0.051094	0.599194	181	4	0.46887
ANGEL2	4	0.4284	0.57528	0.999998	1141	1	0.68183	0.015804	0.051112	0.599194	182	2	0.68183
RPL36AL	3	0.86356	0.86431	0.999998	1791	0	0.71594	0.016523	0.0432	0.580423	183	2	0.71594
NOP58	4	0.43621	0.58305	0.999998	1151	1	1.0064	0.016598	0.053572	0.611399	184	3	1.0064
RPS18	4	0.9702	0.97049	0.999998	2041	0	1.2349	0.016739	0.05392	0.611399	185	3	1.2349
RPL9	4	0.92996	0.92974	0.999998	1933	0	1.3189	0.016742	0.053924	0.611399	186	3	1.3189
RPF2	4	0.98311	0.98327	0.999998	2093	0	0.32604	0.016887	0.054412	0.611399	187	4	0.32604
RNASE7	4	0.98295	0.98308	0.999998	2092	0	0.97118	0.017051	0.054851	0.612876	188	4	0.97118
MBNL3	3	0.98286	0.9834	0.999998	2091	0	0.801	0.017136	0.044665	0.581258	189	3	0.801
RPL17	3	0.98281	0.98335	0.999998	2090	0	0.81849	0.017185	0.044756	0.581258	190	3	0.81849
TMSB4X	4	0.98252	0.98267	0.999998	2089	0	0.31159	0.017478	0.056126	0.620787	191	4	0.31159
GCFC2	4	0.89704	0.89726	0.999998	1861	0	1.0323	0.017931	0.057491	0.622573	192	2	1.0323
RPL13A	4	0.57108	0.65727	0.999998	1302	1	0.96608	0.018077	0.057943	0.622573	193	3	0.96608
RPS6	4	0.41984	0.56667	0.999998	1127	1	1.02	0.01831	0.058653	0.626588	194	3	1.02
HSPE1	4	0.27327	0.41796	0.999998	867	2	0.58	0.019002	0.060755	0.634488	195	2	0.58
TDRD12	4	0.21859	0.36236	0.999998	744	2	0.059184	0.019029	0.060841	0.634488	196	2	0.059184
SCAMP3	3	0.98059	0.9811	0.999998	2086	0	0.61899	0.019413	0.049851	0.599194	197	3	0.61899
RPL38	4	0.9611	0.96161	0.999998	2011	0	0.73517	0.019597	0.062632	0.641737	198	3	0.73517
UTP18	3	0.98004	0.98054	0.999998	2085	0	0.61967	0.019958	0.051261	0.599194	199	3	0.61967
ANKRD17	4	0.354	0.49955	0.999998	996	1	-0.028035	0.02001	0.06392	0.648079	200	1	-0.028035
SMG8	3	0.97966	0.98009	0.999998	2083	0	0.46017	0.020345	0.052134	0.604091	201	3	0.46017
PUM2	3	0.50021	0.55292	0.999998	1233	1	1.0774	0.020477	0.052487	0.604977	202	2	1.0774
SARS	4	0.72426	0.74344	0.999998	1525	1	1.0822	0.020546	0.065385	0.659876	203	3	1.0822
INTS8	4	0.21661	0.36041	0.999998	741	2	0.5058	0.020985	0.066488	0.664061	204	2	0.5058
PSIP1	4	0.71931	0.74029	0.999998	1516	1	0.71167	0.02099	0.066493	0.664061	205	3	0.71167
UBE2L3	4	0.91779	0.91794	0.999998	1900	0	1.0698	0.021147	0.066796	0.664061	206	3	1.0698
RPS15A	3	0.97875	0.97923	0.999998	2076	0	1.301	0.021248	0.05444	0.611399	207	3	1.301
RPS7	3	0.96899	0.96972	0.999998	2038	0	1.2293	0.021774	0.055611	0.618209	208	3	1.2293
INTS1	3	0.69536	0.6999	0.999998	1482	1	0.5494	0.022419	0.057188	0.622573	209	2	0.5494
MRPS27	4	0.85214	0.85147	0.999998	1758	0	-0.17233	0.022459	0.069599	0.683275	210	1	-0.17233
MRPL41	3	0.97729	0.9778	0.999998	2068	0	0.81795	0.022713	0.057934	0.622573	211	3	0.81795
MRPL50	4	0.68438	0.71821	0.999998	1467	1	0.74885	0.022742	0.07025	0.683275	212	3	0.74885
TIAL1	3	0.97726	0.97778	0.999998	2067	0	0.48762	0.022743	0.057993	0.622573	213	3	0.48762
NAT10	4	0.94037	0.94044	0.999998	1957	0	1.195	0.023226	0.071249	0.683275	214	3	1.195
NSA2	3	0.97671	0.97725	0.999998	2065	0	0.52942	0.023287	0.059273	0.630131	215	3	0.52942
RNASE4	4	0.89485	0.89504	0.999998	1859	0	0.68212	0.023346	0.071461	0.683275	216	3	0.68212
DDX56	4	0.84624	0.84549	0.999998	1751	0	1.0276	0.023396	0.07152	0.683275	217	3	1.0276
RFC4	4	0.94979	0.94986	0.999998	1977	0	0.22691	0.023438	0.071628	0.683275	218	2	0.22691
RPL39L	4	0.64032	0.69266	0.999998	1398	1	0.79975	0.023566	0.071877	0.683275	219	2	0.79975
FAU	4	0.89103	0.89111	0.999998	1845	0	0.81261	0.023652	0.072072	0.683275	220	2	0.81261
NSUN5	4	0.45163	0.59836	0.999998	1185	2	0.62114	0.023823	0.072429	0.683702	221	2	0.62114
MRTO4	3	0.66965	0.67764	0.999998	1438	1	1.151	0.023852	0.060434	0.634488	222	2	1.151
RPL13	3	0.23285	0.35509	0.999998	769	1	1.3662	0.023915	0.060611	0.634488	223	2	1.3662
NAA50	4	0.16078	0.30414	0.999998	641	1	0.81611	0.024225	0.07331	0.687066	224	3	0.81611
PSMB3	3	0.97547	0.9761	0.999998	2060	0	0.42968	0.024526	0.062202	0.641737	225	3	0.42968
GNL3	3	0.97538	0.97605	0.999998	2059	0	0.47118	0.024621	0.06246	0.641737	226	3	0.47118
PSMD11	4	0.51467	0.63157	0.999998	1243	1	0.79412	0.024689	0.074305	0.689524	227	3	0.79412
ACAT1	3	0.97525	0.97592	0.999998	2057	0	0.42234	0.024747	0.062709	0.641737	228	3	0.42234
MTIF3	4	0.41186	0.55837	0.999998	1110	1	0.1107	0.024904	0.074766	0.690876	229	2	0.1107
NSFL1C	3	0.97487	0.97558	0.999998	2054	0	0.72821	0.02513	0.063613	0.647962	230	3	0.72821
ALDH6A1	4	0.44833	0.59515	0.999998	1182	2	0.62644	0.025569	0.0761	0.695135	231	2	0.62644
EEFSEC	4	0.64766	0.69652	0.999998	1405	1	0.84607	0.02572	0.076466	0.695135	232	3	0.84607
SNRPB	4	0.44137	0.58819	0.999998	1161	1	0.28796	0.026369	0.077827	0.700929	233	2	0.28796
BYSL	3	0.90607	0.9071	0.999998	1880	0	0.92515	0.026605	0.067013	0.664061	234	2	0.92515
CARS	4	0.62886	0.68681	0.999998	1373	1	0.71474	0.026607	0.078414	0.700929	235	3	0.71474
HSPA8	4	0.28852	0.43355	0.999998	902	1	0.51142	0.026857	0.078876	0.702185	236	2	0.51142
EIF6	3	0.36907	0.47503	0.999998	1024	1	1.2333	0.027066	0.068165	0.672442	237	2	1.2333
RPL22L1	4	0.68585	0.71914	0.999998	1470	1	0.84003	0.027644	0.080621	0.711933	238	2	0.84003
CLK4	4	0.6229	0.68341	0.999998	1364	1	0.15987	0.027832	0.081028	0.712653	239	2	0.15987
MOV10L1	3	0.97201	0.97265	0.999998	2044	0	0.66407	0.027986	0.070335	0.683275	240	3	0.66407
ZC3H14	2	0.72527	0.724	0.999998	1529	0	1.3407	0.028052	0.051438	0.599194	241	1	1.3407
